generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,cooldownSeconds,cpuRequest,memoryRequest,slaViolation,avgCpu,avgMemory,avgReplicas,cpuEfficiencyLoss,memoryEfficiencyLoss,errorRate
1,2,6,0.6,0.3,10,100,576,0.9608938547486033,0.24906509440680158,1.4967657625675201E-5,4.5,1.80675658735627,1.731733892385231E8,0.0
1,4,5,0.8,0.8,10,250,640,0.7118226600985222,1.3633907360873558,2.2078305482864378E-5,4.2,0.7701387226770213,1.2174847395268789E8,0.0
1,3,5,0.7,0.5,10,300,1024,0.689119170984456,1.2120049535371595,1.8768840365939668E-5,3.8,0.9405902151414335,2.0732234512801695E8,0.0
1,3,5,0.7,0.7,10,350,576,0.7065217391304348,,1.706845230526394E-5,2.8,1.7976931348623157E308,9.449011375815308E7,0.0
1,4,5,0.8,0.6,10,450,768,0.5773480662983426,1.699244769412706,2.132604519526164E-5,3.8,1.0063294180926101,1.3684675115705135E8,0.0
1,1,4,0.4,0.8,10,200,640,0.6629213483146068,1.8181911855018595,2.0647197961807253E-5,1.8,0.19799897990410303,5.5794495801849E7,0.6454183266932271
1,2,5,0.4,0.4,10,350,256,0.5882352941176471,1.2323938489323596,1.9497238099575043E-5,4.0,1.136000476806047,5.252025926802006E7,0.0
1,2,4,0.3,0.7,15,400,256,0.6349206349206349,1.7453395064209218,2.2194813936948776E-5,4.4,1.0083997947248338,5.075059440461574E7,0.0
1,2,6,0.4,0.4,10,250,768,0.6932367149758454,0.5928902175427764,1.616310328245163E-5,4.0,1.6866528919038053,1.9006251128366464E8,0.0
1,2,4,0.6,0.4,10,350,576,0.6068840579710144,1.6543164963638186,2.1508894860744476E-5,4.4,0.9308980496687994,1.1783032166034207E8,0.0
2,2,6,0.4,0.4,10,250,768,0.6932367149758454,0.5928902175427764,1.616310328245163E-5,4.0,1.6866528919038053,1.9006251128366464E8,0.0
2,3,5,0.7,0.5,10,300,1024,0.689119170984456,1.2120049535371595,1.8768840365939668E-5,3.8,0.9405902151414335,2.0732234512801695E8,0.0
2,2,5,0.6,0.8,10,200,640,0.7326732673267327,1.5907858806984774,2.156570553779602E-5,3.0,0.37717206776851314,8.903024279150112E7,0.0
