minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_REPLICA_VARIANCE,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_REPLICA_VARIANCE,penalized_SLA_VIOLATION
2,6,0.7,0.5,10,250,384,0.20918886792240696,51350.95209580838,24006485.333333332,2,51350.973053892216,0.4183777358448139,0.6976047904191617,0.05962075127495659,40974,62206,62206,0,0.10778443113772455,0.581622264155186,0.9403792487250434,0.5,0.75,0,0.8922155688622755,3.38284458161005,4.421565657163385,1.3000000000000003,2,0,5.683839506615513
2,3,0.6,0.8,20,100,896,0.08345051464520689,59164.48115299335,23688045.714285713,2,59164.494456762746,0.41725257322603443,0.9778270509977827,0.025212813396843115,59676,59676,59676,0,0.0066518847006651885,0.5827474267739656,0.9747871866031569,0.2,1.75,0,0.9933481152993349,3.395945634116784,4.751050295828489,0.25,13,0,7.287360435789402
2,3,0.8,0.8,10,500,896,0.4040129833267791,13734.591603053435,23695769.6,2,13734.641221374046,0.4040129833267791,0.08396946564885496,0.025221034458705355,5075,10573,31884,0,0.5610687022900763,0.5959870166732208,0.9747789655412946,1,1.75,0,0.4389312977099237,3.5520052404304603,4.750970158308782,5.050000000000001,13,0,1.0098129479634053
4,6,0.6,0.6,20,100,384,0.10411694724572536,50232.504166666666,23304960,4,50232.5125,0.2602923681143134,0.9395833333333333,0.05787849426269531,51358,51358,51358,0,0.0125,0.7397076318856866,0.9421215057373047,0.4,1.5,0,0.9875,5.471673806699304,4.437964657863631,0.8500000000000001,9.3125,0,7.189062500000001
3,5,0.6,0.8,10,350,384,0.3552740055077076,13760.59243697479,23675426.133333333,3,13760.655462184874,0.33835619572162634,0.025210084033613446,0.058798556857638885,3611,12447,29937,0,0.6386554621848739,0.6616438042783737,0.9412014431423611,1.05,1.125,0,0.3613445378151261,4.377725237399589,4.429300782866316,5.5625,4.953125,0,0.6216651366428927
3,4,0.6,0.8,10,200,896,0.20943774413453714,31940.507575757576,29029507.282051284,3,31940.575757575756,0.3490629068908952,0.22727272727272727,0.030898097670558608,11680,30692,59890,0,0.29545454545454547,0.6509370931091047,0.9691019023294414,0.6,2.625,0,0.7045454545454546,4.237190991853313,4.695792485492711,1.85,30.828125,0,3.250206611570249
2,3,0.6,0.8,10,500,384,0.3902210031423326,13607.37728937729,26414489.6,2,13607.421245421245,0.3902210031423326,0.15384615384615385,0.06560109456380209,3433,10537,32885,0,0.63003663003663,0.6097789968576675,0.9343989054361979,1,0.75,0,0.36996336996337,3.718304250087432,4.365506572401824,5.050000000000001,2,0,0.6588388412564237
4,6,0.6,0.7,20,100,896,0.127956075092991,41896.41379310345,23436151.466666665,4,41896.50574712644,0.31989018773247746,0.5747126436781609,0.024944705054873513,24997,53207,53207,0,0.10344827586206896,0.6801098122675225,0.9750552949451264,0.4,3.5,0,0.896551724137931,4.625493567425647,4.753664141002638,0.8500000000000001,56.3125,0,5.748394768133176
2,3,0.6,0.8,10,250,384,0.17254243479843398,25191.986842105263,23764172.8,2,25192.03947368421,0.34508486959686796,0.5986842105263158,0.05901896158854166,9463,34079,34079,0,0.26973684210526316,0.654915130403132,0.9409810384114583,0.5,0.75,0,0.7302631578947368,4.289138280309514,4.427226573249532,1.3000000000000003,2,0,3.5420533240997223
3,4,0.6,0.6,20,200,576,0.19207464235985472,30330.841379310346,23616365.714285713,3,30330.931034482757,0.32012440393309116,0.0896551724137931,0.03910125248015873,9276,35553,57693,0,0.33793103448275863,0.6798755960669088,0.9608987475198413,0.6,1.6875,0,0.6620689655172414,4.6223082612733455,4.616632014925998,1.85,12.01953125,0,2.797146254458977
