,generation,minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_REPLICA_VARIANCE,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_REPLICA_VARIANCE,penalized_SLA_VIOLATION,elitism_score,type
5,0,4,6,0.7,0.7,10,400,640,0.5004701433145898,9762.071856287424,23540019.2,4.0,9762.092814371255,0.3127938395716186,0.0,0.0350773620605468,2708,6103,28883,0.0,0.7544910179640718,0.6872061604283813,0.9649226379394532,1.6,2.5,0.0,0.2455089820359282,4.722523069307182,4.655378486040164,12.85,27.8125,0.0,0.2662196564953925,306.8821564953925,best
4,0,2,3,0.6,0.6,20,100,384,0.0763847599314186,23503.49721115538,23718990.769230768,2.0,23503.499601593627,0.3819237996570932,0.99601593625498,0.058906750801282,23535,23535,23535,0.0,0.0023904382470119,0.6180762003429068,0.941093249198718,0.2,0.75,0.0,0.997609561752988,3.820181894303251,4.428282518437001,0.25,2.0,0.0,7.359419691750926,7361.669691750926,worst
10,1,4,6,0.7,0.5,10,450,576,0.520969070368829,8443.220994475138,23596145.777777776,4.0,8443.262430939227,0.2894272613160161,0.0,0.0390677746431327,1940,5225,23842,0.0,0.7762430939226519,0.710572738683984,0.9609322253568672,1.8,2.25,0.0,0.2237569060773481,5.049136169608573,4.616953708646506,16.25,22.25,0.0,0.2294008119410275,267.9008119410275,best
17,1,2,3,0.6,0.6,20,100,384,0.0763847599314186,23503.49721115538,23718990.769230768,2.0,23503.499601593627,0.3819237996570932,0.99601593625498,0.058906750801282,23535,23535,23535,0.0,0.0023904382470119,0.6180762003429068,0.941093249198718,0.2,0.75,0.0,0.997609561752988,3.820181894303251,4.428282518437001,0.25,2.0,0.0,7.359419691750926,7361.669691750926,worst
25,2,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
27,2,1,3,0.6,0.6,20,100,256,0.0477334334854155,23125.969655889403,23976093.53846154,1.0,23125.9696650492,0.4773343348541556,0.999993130153816,0.0893179086538461,23126,23126,23126,0.0,2.289948728e-06,0.5226656651458443,0.910682091346154,0.1,0.25,0.0,0.999997710051272,2.7317939752234786,4.146709357493022,0.1,0.25,0.0,7.39996107092406,7400.31107092406,worst
33,3,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
30,3,1,6,0.7,0.8,20,100,384,0.0518374719665437,25046.96429098289,23943640.615384616,1.0,25046.964302158725,0.5183747196654371,0.9999932945010438,0.0594646747295673,25047,25047,25047,0.0,2.2351663187e-06,0.4816252803345628,0.9405353252704328,0.1,0.375,0.0,0.9999977648336812,2.3196291065734624,4.423033490407794,0.1,0.453125,0.0,7.3999620022225425,7400.515127222543,worst
45,4,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
46,4,1,6,0.7,0.8,20,100,384,0.0518374719665437,25046.96429098289,23943640.615384616,1.0,25046.964302158725,0.5183747196654371,0.9999932945010438,0.0594646747295673,25047,25047,25047,0.0,2.2351663187e-06,0.4816252803345628,0.9405353252704328,0.1,0.375,0.0,0.9999977648336812,2.3196291065734624,4.423033490407794,0.1,0.453125,0.0,7.3999620022225425,7400.515127222543,worst
50,5,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
54,5,1,3,0.6,0.6,20,100,256,0.0477334334854155,23125.969655889403,23976093.53846154,1.0,23125.9696650492,0.4773343348541556,0.999993130153816,0.0893179086538461,23126,23126,23126,0.0,2.289948728e-06,0.5226656651458443,0.910682091346154,0.1,0.25,0.0,0.999997710051272,2.7317939752234786,4.146709357493022,0.1,0.25,0.0,7.39996107092406,7400.31107092406,worst
60,6,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
63,6,1,3,0.5,0.5,20,450,256,0.1843092790805343,27516.197916702506,28487680.0,1.0,27516.19793046272,0.4095761757345207,0.9997970367363508,0.1061248779296875,27519,27519,27519,0.0,0.0001032016594826,0.5904238242654792,0.8938751220703125,0.45,0.25,0.0,0.9998967983405174,3.486002922602735,3.99506366928108,1.0625,0.25,0.0,7.39824567829462,7399.55817829462,worst
72,7,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
77,7,1,3,0.5,0.5,20,450,256,0.1843092790805343,27516.197916702506,28487680.0,1.0,27516.19793046272,0.4095761757345207,0.9997970367363508,0.1061248779296875,27519,27519,27519,0.0,0.0001032016594826,0.5904238242654792,0.8938751220703125,0.45,0.25,0.0,0.9998967983405174,3.486002922602735,3.99506366928108,1.0625,0.25,0.0,7.39824567829462,7399.55817829462,worst
80,8,4,6,0.7,0.7,20,500,256,0.6566425211100576,7377.252336448598,23536435.2,4.2,7377.296728971963,0.3126869148143131,0.0,0.0876800537109375,2130,6035,17424,0.36,0.8598130841121495,0.6873130851856869,0.9123199462890624,2.1,1.05,0.36,0.1401869158878504,4.723992770674673,4.16163842198439,22.1,4.250000000000001,0.6479999999999999,0.1401869158878504,166.5369158878504,best
89,8,1,3,0.5,0.5,20,450,256,0.1843092790805343,27516.197916702506,28487680.0,1.0,27516.19793046272,0.4095761757345207,0.9997970367363508,0.1061248779296875,27519,27519,27519,0.0,0.0001032016594826,0.5904238242654792,0.8938751220703125,0.45,0.25,0.0,0.9998967983405174,3.486002922602735,3.99506366928108,1.0625,0.25,0.0,7.39824567829462,7399.55817829462,worst
