minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
5,6,0.6,0.7,15,150,384,0.24312406131490652,23690.105263157893,23376313.107692305,5,23690.197368421053,0.32416541508654206,0.013157894736842105,0.05805570162259615,9805,18572,55880,0,0.3881578947368421,0.6758345849134579,0.9419442983774039,0.75,1.875,0.611842105263158,12.09464423904211,23.123420829519894,11.3125,67.890625,3.325664819944599
3,4,0.6,0.7,15,150,1024,0.13373164604189489,38064.75213675214,23524238.222222224,3,38064.820512820515,0.29718143564865535,0.5811965811965812,0.02190865410698785,12255,57003,57003,0,0.37606837606837606,0.7028185643513447,0.9780913458930122,0.45,3,0.6239316239316239,13.051666924273478,24.894658368663116,3.5125,192.0625,3.499419972240485
5,6,0.6,0.7,15,400,1024,0.5972068491972955,7912.60880195599,23500554.240000002,5.4,7912.652811735941,0.2764846524061553,0,0.021886596679687502,2672,6972,19363,0.24,0.8581907090464548,0.7235153475938447,0.9781134033203125,2.16,5.4,0.14180929095354522,13.810376802689893,24.89575914719142,108.25000000000001,668.4625,0.14180929095354522
5,6,0.7,0.8,20,500,1024,0.7777714070096244,7044.385462555066,27320074.24,5,7044.42731277533,0.3111085628038498,0,0.02544380187988281,2137,5617,20736,0,0.9096916299559471,0.6888914371961502,0.9745561981201172,2.5,5,0.0903083700440529,12.553176743250583,24.718550780478544,146.5,569.0625,0.0903083700440529
3,6,0.6,0.7,15,150,576,0.16557387617725042,38664.494736842105,23548400.484848484,3,38664.58947368421,0.3679419470605565,0.4,0.03898872349800084,18023,51145,60189,0,0.16842105263157894,0.6320580529394435,0.9610112765019991,0.45,1.6875,0.8315789473684211,10.619492610079455,24.049578115602046,3.5125,53.34765625,7.213850415512465
3,6,0.6,0.7,15,400,384,0.44106822093343767,11511.08540925267,23768951.466666665,3,11511.156583629892,0.3675568507778647,0,0.05903082953559028,5412,9846,27038,0,0.697508896797153,0.6324431492221353,0.9409691704644098,1.2,1.125,0.302491103202847,10.632051574172438,23.0765436645764,31.44999999999999,20.265625,0.4705619229746331
3,6,0.6,0.8,15,150,384,0.14252268619980737,13851.29292929293,23489080.88888889,3,13851.353535353535,0.3167170804440164,0.6767676767676768,0.05833576343677662,10858,16582,16582,0,0.29292929292929293,0.6832829195559835,0.9416642365632234,0.45,1.125,0.7070707070707071,12.3551716234797,23.10995259711818,3.5125,20.265625,4.8210019385776945
3,4,0.6,0.8,20,150,1024,0.1552199587385629,36181.44554455446,26257920,3.3333333333333335,36181.53465346534,0.3104399174771258,0.40594059405940597,0.024454593658447266,9186,48670,54819,0.22222222222222224,0.297029702970297,0.6895600825228743,0.9755454063415527,0.5,3.3333333333333335,0.7029702970297029,12.576887767746701,24.767766402194184,4.5,241.00694444444449,4.750636212136065
5,6,0.6,0.8,20,500,1024,0.6850400176892644,6180.097959183673,23407092.622222222,5,6180.136734693878,0.2740160070757057,0,0.021799553765190972,2049,5063,14177,0,0.9591836734693877,0.7259839929242943,0.9782004462348091,2.5,5,0.04081632653061229,13.902302942481839,24.9001032715843,146.5,569.0625,0.04081632653061229
5,6,0.6,0.8,20,500,384,0.6849708423316065,6198.8808080808085,23413009.066666666,5,6198.913131313131,0.2739883369326426,0,0.058146837022569446,2328,5537,15118,0,0.9494949494949495,0.7260116630673574,0.9418531629774306,2.5,1.875,0.0505050505050505,13.90333503581311,23.11903767824219,146.5,67.890625,0.0505050505050505
