minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
5,7,0.5,0.7,15,450,576,0.6380069760838167,6943.653153153153,23459339.377777778,5.444444444444445,6943.704954954955,0.2604110106464559,0,0.038841266396604936,2291,5084,18730,0.691358024691358,0.8626126126126126,0.7395889893535441,18730,2.45,3.0625,0.13738738738738743,20.431296423581422,18730,201.26000000000002,794.078125,0.13738738738738743
2,4,0.3,0.4,15,200,256,0.12626792204844625,27651.973509933774,23446528,2,27652.039735099337,0.31566980512111564,0.7218543046357616,0.08734512329101562,28646,31684,31684,0,0.11920529801324503,0.6843301948788844,31684,0.4,0.5,0.880794701986755,17.543411557305873,31684,3.640000000000001,2.0625,17.566126047103204
2,8,0.4,0.5,15,100,384,0.07474692572411289,21385.429139989617,23644452.57142857,2,21385.42983215089,0.3737346286205644,0.9987887177712407,0.058721633184523815,21396,21396,21396,0,0.0008652015919709292,0.6262653713794356,21396,0.2,0.75,0.9991347984080291,14.745764725384241,21396,0.56,7,23.98932613536711
3,8,0.7,0.4,10,350,576,0.338507197271504,13485.302040816327,23674880,3,13485.342857142858,0.322387806925242,0,0.03919813368055556,3585,14588,29468,0,0.5183673469387755,0.6776121930747581,29468,1.05,1.6875,0.4816326530612245,17.207310424403758,29468,33.54,208.328125,3.3370428987921694
2,6,0.7,0.4,15,250,256,0.18300747040189264,49563.36124031008,23785658.181818184,2,49563.37054263566,0.36601494080378527,0.8666666666666667,0.08860848166725853,53598,53598,53598,0,0.04961240310077519,0.6339850591962147,53598,0.5,0.5,0.9503875968992248,15.10371904942122,53598,6.260000000000002,2.0625,21.22132323778619
3,8,0.7,0.4,15,350,384,0.33405334588641034,13689.741803278688,23737412.266666666,3.2,13689.790983606557,0.2982619159700093,0,0.05895250108506944,5057,15317,25206,0.15999999999999998,0.47950819672131145,0.7017380840299907,25206,1.12,1.2000000000000002,0.5204918032786885,18.429446272840956,25206,38.5744,91.45000000000003,4.218231658156408
2,8,0.3,0.4,15,350,256,0.2697665306824927,22583.77889447236,24487731.2,2,22584.08040201005,0.38538075811784667,0.24120603015075376,0.09122390747070312,8923,21418,42560,0,0.4623115577889447,0.6146192418821533,42560,0.7,0.5,0.5376884422110553,14.2138644915867,42560,13.659999999999997,2.0625,4.6428938663165065
5,7,0.4,0.7,10,350,512,0.5095259007567562,8009.033942558747,26635304.96,5.8,8009.0913838120105,0.2509979806683528,0,0.04961212158203125,2811,6117,22586,0.96,0.835509138381201,0.7490020193316471,22586,2.03,2.9,0.164490861618799,20.94514691799551,22586,136.12639999999996,705.15,0.164490861618799
2,6,0.4,0.7,15,350,512,0.2493731963668288,17781.19387755102,25410150.4,2.5,17781.26020408163,0.28499793870494716,0.05102040816326531,0.04733009338378906,9179,15552,37960,0.25,0.49489795918367346,0.7150020612950528,37960,0.875,1.25,0.5051020408163265,19.119208176917336,37960,22.497500000000002,101.25,3.856243231986671
3,4,0.3,0.3,10,100,576,0.08925082685618166,44301.06172839506,23421243.076923076,3.3846153846153846,44301.135802469136,0.2636956248023549,0.7654320987654321,0.03877819093883547,50217,50217,50217,0.2366863905325444,0.08641975308641975,0.736304375197645,50217,0.3384615384615385,1.9038461538461537,0.9135802469135803,20.253493160864643,50217,2.385562130177515,275.42455621301764,19.244663923182443
3,8,0.3,0.4,10,350,576,0.37792338382114443,10461.171717171717,28996676.26666667,4.3,10461.218855218855,0.25111188293763753,0,0.048009349681712964,6795,11125,18978,2.41,0.8148148148148148,0.7488881170623625,18978,1.505,2.4187499999999997,0.18518518518518523,20.938890944641948,18978,72.56989999999999,472.7664062499998,0.18518518518518523
